vehicle_id,vehicle_type,battery_capacity_kwh,vehicle_model,vehicle_age,motor_power_kw,vehicle_weight_kg,state_of_charge,battery_temperature,battery_voltage,battery_current,battery_cycles,battery_health,charging_type,charging_time,average_speed,maximum_speed,acceleration,driving_style,distance_travelled,regenerative_braking,outside_temperature,humidity,road_condition,traffic_level,terrain,wind_speed,ac_usage,passenger_load,headlight_usage,infotainment_usage,energy_consumption_kwh_per_100km,estimated_range_km
EV100019,Scooty,7.23,TVS iQube,2.73,7.58,141.2,59.64,40.87,58.74,33.57,676,92.31,AC,0.76,42.76,107.99,2.69,Eco,39.94,57.54,23.41,65.99,Excellent,Medium,Hilly,6.1,High,1,Off,On,8.0,49.75
EV100020,Scooty,6.0,Bajaj Chetak,2.81,4.99,98.0,77.15,30.87,51.22,47.77,726,94.85,AC,0.57,14.27,67.86,2.24,Normal,290.17,49.34,27.33,55.88,Average,Very High,Flat,19.81,Off,1,On,On,8.0,54.86
EV100021,Car,64.57,BYD Atto 3,8.89,54.24,2043.4,39.79,33.22,393.19,117.08,1676,85.63,AC,7.17,38.62,69.26,2.02,Eco,35.52,62.54,35.4,23.86,Good,Low,Hilly,10.15,Off,5,Off,On,26.19,83.99
EV100022,Bus,166.26,Ashok Leyland Switch,7.72,249.13,12660.4,9.87,42.85,661.91,180.61,1355,92.36,Depot Fast,1.0,51.22,120.0,1.04,Eco,502.63,77.6,21.62,61.88,Good,Medium,Flat,12.53,Medium,37,Off,On,125.12,12.11
EV100023,Bus,209.0,Tata Starbus EV,13.94,188.78,16577.1,91.2,28.35,695.82,162.41,1912,73.15,AC,12.0,28.54,97.5,1.49,Eco,551.51,76.32,25.19,40.42,Poor,Medium,Hilly,6.97,Medium,10,On,On,128.71,108.32
EV100024,Scooty,5.41,Bajaj Chetak,6.92,10.49,159.8,75.57,30.43,48.94,47.35,887,88.8,Fast Charging,0.99,49.98,117.87,2.31,Normal,148.07,56.7,28.29,66.9,Poor,Low,Flat,7.48,Medium,1,On,On,8.0,45.4
EV100025,Car,31.78,BYD Atto 3,9.26,108.84,1791.8,43.43,28.53,417.67,55.4,1969,86.99,DC Fast,0.49,60.9,104.14,2.76,Normal,156.1,60.34,30.05,66.33,Good,Medium,Flat,0.03,Off,3,Off,On,18.67,64.32
EV100026,Car,74.95,Hyundai Ioniq 5,8.76,140.82,1523.3,36.27,39.94,336.02,64.87,1503,87.62,AC,8.22,38.66,93.1,2.38,Eco,154.07,94.32,27.5,50.84,Average,Low,Mixed,19.64,Off,1,Off,On,18.47,128.99
EV100027,Car,81.3,BYD Atto 3,7.91,130.09,1393.2,83.32,25.32,362.16,118.43,1547,88.86,AC,8.61,45.62,99.99,1.75,Normal,128.44,54.47,41.09,51.69,Average,Medium,Mixed,10.94,Medium,1,On,On,24.34,247.34
EV100028,Car,55.18,MG ZS EV,7.39,128.1,1192.8,23.48,36.29,356.91,63.99,1274,85.67,AC,6.04,65.89,118.62,2.3,Normal,397.21,83.74,27.24,81.61,Average,Low,Hilly,5.29,Low,4,Off,On,27.29,40.68
EV100029,Scooty,5.42,Hero Vida V1,2.8,4.21,123.0,26.53,26.38,53.01,23.69,461,93.2,AC,0.56,37.94,112.57,2.43,Aggressive,94.54,61.99,33.92,58.73,Good,Medium,Hilly,12.47,Low,1,On,On,8.0,16.75
EV100030,Scooty,8.48,TVS iQube,7.12,5.99,92.0,56.64,32.4,56.95,20.54,1703,84.96,AC,1.12,18.17,86.28,1.95,Normal,139.85,51.0,48.0,80.32,Average,Low,Hilly,3.81,Off,1,On,On,8.0,51.04
EV100031,Bus,313.31,Olectra C9,10.67,194.18,15113.2,10.39,36.77,598.4,225.13,1056,84.97,DC Fast,4.5,28.46,70.31,1.42,Normal,456.53,94.43,25.13,67.42,Excellent,Medium,Flat,11.98,Medium,18,Off,On,117.71,23.51
EV100032,Car,68.12,Tata Tiago EV,10.25,136.12,1275.2,85.89,32.19,338.99,80.76,1178,82.84,AC,7.78,56.07,84.55,1.65,Eco,200.54,71.36,30.92,58.84,Excellent,Medium,Flat,0.0,High,4,Off,On,20.77,233.39
EV100033,Car,81.23,Tata Tiago EV,2.43,113.89,1194.9,13.16,32.7,335.2,28.8,994,94.34,AC,8.21,56.08,87.26,2.69,Normal,83.13,58.88,33.8,68.22,Excellent,Low,Flat,11.1,Off,2,Off,On,17.44,57.85
EV100034,Car,46.75,MG ZS EV,11.88,45.9,1117.3,83.86,29.79,357.61,74.05,1625,82.58,DC Fast,0.73,67.49,143.75,4.11,Eco,115.59,57.21,34.36,77.63,Average,Low,Flat,19.78,Medium,3,Off,On,19.05,169.99
EV100035,Car,69.5,BYD Atto 3,7.37,97.7,1567.9,57.42,29.83,399.9,90.59,1499,87.91,AC,6.54,40.43,101.65,1.23,Normal,55.14,64.09,38.04,60.22,Poor,Medium,Mixed,10.19,Off,2,Off,On,26.28,133.52
EV100036,Car,73.25,Mahindra XUV400,10.61,153.5,1742.1,94.04,31.84,428.16,37.07,2072,82.66,DC Fast,0.93,57.5,137.05,1.43,Normal,189.79,100.0,28.32,75.91,Average,High,Flat,15.5,Medium,1,Off,On,21.6,263.58
EV100037,Car,41.13,Hyundai Ioniq 5,5.96,137.79,1542.9,94.98,21.63,361.68,66.28,1431,89.6,DC Fast,0.46,41.31,66.91,2.27,Normal,62.4,61.75,21.01,64.87,Good,High,Mixed,17.74,High,3,Off,On,25.84,135.46
EV100038,Car,66.25,Tata Nexon EV,3.06,62.76,1161.3,28.69,30.11,402.13,101.77,924,93.29,DC Fast,0.85,42.42,99.17,2.4,Normal,292.22,63.97,27.71,51.34,Good,Very High,Flat,24.25,Medium,1,On,On,22.22,79.77
EV100039,Scooty,7.54,Hero Vida V1,4.75,8.62,122.4,28.09,15.85,65.6,34.58,1363,88.75,AC,0.98,39.38,114.3,1.06,Normal,30.47,39.03,19.25,61.5,Average,Medium,Flat,11.01,Off,1,On,Off,8.0,23.5
EV100040,Car,73.1,Tata Tiago EV,3.73,56.17,1603.8,24.68,10.87,396.12,59.9,718,94.09,AC,9.06,48.44,122.78,1.65,Normal,65.93,65.84,45.9,68.68,Average,Medium,Hilly,20.43,Low,4,Off,On,29.86,56.85
EV100041,Scooty,4.83,Ola S1 Pro,6.73,3.71,122.2,23.38,33.36,63.64,17.35,484,90.07,Fast Charging,0.79,29.51,54.7,2.68,Normal,81.44,55.37,36.85,63.91,Average,High,Flat,5.03,Low,1,On,On,8.0,12.72
EV100042,Scooty,2.72,TVS iQube,3.47,7.96,113.8,37.25,34.79,64.36,63.51,524,94.89,AC,0.35,43.37,106.01,2.1,Normal,31.14,78.98,27.68,74.6,Average,Low,Flat,9.56,Off,1,Off,Off,6.37,15.12
EV100043,Car,46.84,BYD Atto 3,11.41,139.64,2055.4,18.33,36.3,421.96,120.34,1447,86.32,AC,5.77,57.37,136.02,1.83,Aggressive,116.58,92.87,24.57,43.41,Average,High,Mixed,4.82,Low,5,Off,On,29.74,24.92
EV100044,Scooty,5.64,Ola S1 Pro,6.71,7.09,131.1,24.66,26.55,52.65,55.67,1206,89.99,AC,0.63,54.54,104.09,3.39,Normal,35.74,38.86,31.5,57.37,Average,Medium,Flat,5.55,Off,1,On,On,8.0,15.65
EV100045,Scooty,2.91,Ola S1 Pro,2.16,10.39,114.9,22.64,35.41,75.42,6.5,1528,92.94,Fast Charging,0.39,43.72,113.61,1.84,Aggressive,57.65,70.26,39.42,39.13,Good,Low,Flat,14.35,Low,1,Off,On,8.0,7.65
EV100046,Car,43.16,Tata Tiago EV,2.04,164.4,1732.4,19.93,28.73,414.79,87.07,696,94.75,DC Fast,0.53,46.58,102.94,2.75,Eco,47.58,69.12,32.7,98.0,Good,Low,Mixed,11.19,High,3,On,Off,23.39,34.85
EV100047,Car,27.4,Mahindra XUV400,9.23,63.2,1488.9,62.71,32.64,393.71,38.35,1249,88.86,DC Fast,0.34,58.11,115.02,2.98,Normal,205.63,57.45,31.76,75.58,Average,Very High,Flat,5.12,High,2,Off,Off,29.8,51.24
EV100048,Scooty,6.08,Ola S1 Pro,1.83,10.67,125.8,77.07,12.84,67.16,34.78,819,94.77,AC,0.8,22.17,92.95,0.59,Eco,156.09,48.04,23.76,57.81,Excellent,Low,Mixed,7.91,Low,1,Off,On,5.39,82.36
EV100049,Car,75.33,Tata Tiago EV,8.7,82.95,1282.3,56.74,18.14,250.0,101.74,1762,87.9,AC,8.86,24.76,79.25,2.9,Aggressive,296.61,72.33,32.41,55.93,Good,Very High,Flat,12.7,Medium,4,Off,Off,28.03,134.05
EV100050,Car,26.37,Tata Nexon EV,4.77,70.47,1689.3,50.28,41.31,396.34,115.36,773,91.9,DC Fast,0.37,40.54,103.5,1.67,Normal,28.23,60.58,25.61,59.02,Average,Low,Flat,4.69,High,2,Off,On,20.72,58.8
EV100051,Car,49.2,BYD Atto 3,11.62,128.69,1295.5,99.76,26.89,359.92,73.4,1721,80.84,AC,5.48,44.27,103.94,1.3,Normal,266.86,54.86,29.71,45.24,Excellent,Medium,Hilly,6.26,Medium,3,Off,On,27.31,145.26
EV100052,Scooty,2.63,TVS iQube,4.98,7.08,107.1,90.13,37.56,76.95,42.29,1454,86.38,Fast Charging,0.38,25.71,59.49,1.65,Eco,49.43,67.48,37.46,74.47,Average,Low,Flat,12.7,Low,1,Off,On,4.99,41.09
EV100053,Scooty,5.41,Ather 450X,0.26,10.57,146.1,54.47,36.79,55.94,63.6,20,99.87,Fast Charging,0.81,40.82,95.86,2.33,Normal,52.52,54.94,45.54,52.37,Poor,High,Hilly,11.62,Low,1,Off,On,8.0,36.81
EV100054,Scooty,5.16,Hero Vida V1,1.71,9.62,96.1,66.84,27.55,75.76,5.0,1008,95.96,Fast Charging,0.83,28.36,53.84,1.74,Eco,160.01,29.77,19.38,61.42,Good,Medium,Flat,11.71,Off,1,On,On,5.28,62.68
EV100055,Scooty,4.55,Hero Vida V1,2.03,3.09,100.4,28.23,18.27,69.74,36.54,1172,94.04,AC,0.52,30.39,83.64,1.76,Aggressive,87.35,74.26,29.22,55.53,Excellent,Medium,Flat,11.18,Low,1,Off,On,8.0,15.11
EV100056,Car,34.03,Tata Nexon EV,0.29,160.86,1385.0,39.98,25.31,317.67,35.55,858,98.21,DC Fast,0.5,79.36,114.31,1.1,Normal,175.88,52.46,25.36,62.96,Poor,Low,Flat,8.86,Medium,3,Off,On,24.83,53.83
EV100057,Car,74.11,MG ZS EV,4.02,134.54,1145.0,20.53,17.88,379.51,55.41,477,92.4,DC Fast,1.09,14.88,42.06,3.24,Normal,192.72,72.06,41.94,69.5,Average,High,Flat,7.85,Medium,5,On,Off,21.28,66.06
EV100058,Car,35.44,MG ZS EV,2.1,135.99,1859.6,98.49,47.92,337.71,65.18,1289,95.7,AC,3.57,56.96,96.17,2.33,Eco,220.22,37.88,23.01,75.01,Poor,Medium,Flat,12.01,Low,4,Off,On,22.97,145.41
EV100059,Car,64.26,Tata Nexon EV,1.79,143.94,1746.9,44.82,20.08,409.72,86.87,610,98.19,AC,8.32,43.43,112.25,1.7,Eco,341.83,66.02,38.12,43.98,Good,Medium,Flat,2.12,Off,5,Off,Off,17.66,160.11
EV100060,Scooty,7.42,Ather 450X,6.83,10.72,147.9,58.82,34.12,68.54,24.86,979,91.95,Fast Charging,1.02,40.26,77.64,0.4,Normal,163.45,49.13,18.94,83.0,Excellent,High,Hilly,7.65,Medium,1,Off,On,8.0,50.16
EV100061,Car,52.43,Tata Nexon EV,3.24,137.46,1093.1,58.1,25.19,365.24,68.27,641,94.67,DC Fast,0.73,47.72,124.04,2.57,Aggressive,103.27,100.0,28.69,61.96,Average,Low,Flat,12.67,Medium,1,Off,Off,22.7,127.02
EV100062,Car,38.97,Tata Tiago EV,1.9,160.33,1169.9,33.5,29.49,347.2,28.92,970,93.53,DC Fast,0.44,48.69,125.85,2.51,Normal,182.68,63.34,20.26,97.21,Excellent,Medium,Hilly,0.09,Low,2,Off,On,23.23,52.57
EV100063,Scooty,5.99,Ola S1 Pro,6.03,5.11,149.8,32.49,37.15,72.36,19.11,1131,88.97,AC,0.8,33.03,73.2,1.8,Normal,84.35,72.66,28.29,77.14,Good,Medium,Flat,17.91,Medium,1,On,Off,8.0,21.65
EV100064,Scooty,4.83,Bajaj Chetak,5.34,5.82,124.5,90.87,26.2,62.38,46.13,1260,90.46,Fast Charging,0.76,44.58,95.94,0.4,Aggressive,153.33,54.35,21.95,54.2,Good,Medium,Flat,19.68,Medium,1,Off,Off,8.0,49.67
EV100065,Car,69.14,Hyundai Ioniq 5,6.03,126.88,1300.1,84.66,30.79,410.02,72.45,1278,87.69,AC,8.7,40.74,91.12,2.02,Normal,393.13,77.23,38.54,52.77,Excellent,Medium,Flat,10.41,Medium,5,Off,Off,20.71,247.81
EV100066,Car,26.52,BYD Atto 3,7.48,71.57,1841.1,74.83,29.82,334.39,98.53,1768,88.22,DC Fast,0.33,38.48,94.65,2.31,Eco,224.35,75.02,21.71,50.09,Good,Medium,Hilly,17.76,Medium,5,On,On,26.09,67.1
EV100067,Car,27.16,Hyundai Ioniq 5,2.57,134.9,1264.6,90.91,33.4,343.69,58.59,650,94.74,AC,2.79,49.03,75.53,1.65,Normal,49.73,45.77,41.53,69.3,Average,Low,Flat,15.88,Medium,4,Off,On,22.85,102.37
EV100068,Car,31.46,MG ZS EV,7.2,59.21,1278.8,95.6,22.58,382.65,44.83,1176,91.98,AC,3.16,79.32,136.1,1.4,Eco,134.43,34.22,20.05,62.98,Good,Low,Flat,7.62,Low,5,Off,On,16.55,167.11
EV100069,Car,75.33,BYD Atto 3,2.47,103.75,1295.0,43.55,24.12,302.28,66.59,457,93.04,AC,8.0,52.36,96.91,2.56,Eco,355.5,69.37,26.6,66.49,Excellent,Medium,Flat,16.61,Off,1,Off,On,18.16,168.14
EV100070,Car,28.78,BYD Atto 3,4.64,111.87,2102.2,41.85,34.2,398.72,9.39,978,91.79,DC Fast,0.42,26.33,104.17,2.85,Normal,104.36,53.32,35.93,63.68,Average,Very High,Flat,7.58,Medium,2,On,On,25.33,43.66
EV100071,Car,58.7,BYD Atto 3,0.34,58.44,1156.9,24.44,20.66,358.29,100.27,521,96.51,DC Fast,0.78,41.71,106.99,2.72,Normal,130.51,71.76,29.92,64.95,Excellent,Medium,Flat,8.83,Medium,5,Off,On,18.25,75.85
EV100072,Bus,288.09,Tata Starbus EV,8.18,251.86,16018.2,85.06,23.14,684.91,146.25,1096,87.86,DC Fast,4.35,12.66,79.48,1.07,Aggressive,236.43,97.14,29.67,72.55,Average,High,Flat,15.4,Medium,38,On,Off,147.74,145.73
EV100073,Car,29.64,Tata Tiago EV,9.47,57.33,1630.6,62.49,40.39,398.02,43.38,1536,84.43,DC Fast,0.33,34.16,94.21,3.51,Eco,108.44,47.5,37.91,66.17,Good,Very High,Mixed,3.98,High,5,On,On,27.77,56.3
EV100074,Car,33.55,BYD Atto 3,1.08,71.51,1119.1,33.48,22.34,362.57,46.2,929,94.01,AC,3.64,42.79,70.38,1.56,Normal,177.75,52.71,21.92,59.87,Poor,Medium,Flat,11.65,Off,4,On,On,23.81,44.35
EV100075,Car,59.8,MG ZS EV,2.57,46.63,2140.2,30.01,35.51,366.62,118.96,1049,94.99,AC,7.23,50.34,112.97,2.67,Eco,142.45,49.01,29.73,40.14,Average,Low,Flat,17.75,Off,1,Off,On,19.17,88.9
EV100076,Car,68.26,Tata Nexon EV,11.63,149.05,1494.9,57.19,20.25,383.22,60.98,1849,78.74,DC Fast,1.02,37.0,98.55,3.12,Eco,315.36,66.14,39.11,79.58,Good,Medium,Flat,7.87,Off,3,Off,On,21.92,140.22
EV100077,Scooty,7.83,Hero Vida V1,6.45,7.71,108.7,68.72,31.59,60.34,39.11,1246,89.05,AC,0.8,43.71,121.02,3.29,Aggressive,62.99,52.68,35.99,64.44,Average,Medium,Flat,2.33,Low,1,On,On,8.0,59.9
EV100078,Car,49.97,Tata Nexon EV,11.06,144.9,1950.1,50.33,29.66,352.71,89.22,1736,82.08,AC,5.99,59.36,95.91,3.1,Aggressive,226.68,80.44,29.97,65.21,Average,High,Hilly,8.6,Medium,5,Off,On,34.94,59.08
EV100079,Scooty,6.75,Hero Vida V1,6.07,5.39,116.5,54.13,30.84,66.27,49.07,1952,84.92,AC,0.89,52.44,102.61,2.48,Normal,100.29,54.55,19.97,80.55,Good,High,Flat,9.91,Low,1,Off,Off,8.0,38.81
EV100080,Scooty,7.51,Hero Vida V1,4.15,6.82,92.2,50.53,17.65,65.45,34.04,465,93.63,Fast Charging,1.15,27.44,76.45,2.28,Aggressive,149.74,70.05,24.58,73.26,Good,High,Hilly,13.05,Medium,1,On,Off,8.0,44.41
EV100081,Car,43.38,BYD Atto 3,9.19,72.93,2063.6,95.88,36.15,341.75,73.97,900,87.28,AC,5.45,39.71,99.4,2.86,Normal,123.07,75.11,20.47,61.48,Average,High,Flat,11.79,Low,1,Off,On,23.53,154.29
EV100082,Scooty,6.69,Ather 450X,4.12,9.33,120.6,39.82,36.54,59.78,55.65,1068,92.59,AC,0.79,18.68,65.63,2.76,Normal,189.91,71.61,25.18,68.7,Good,Medium,Flat,0.03,Medium,1,On,On,6.3,39.13
EV100083,Car,79.63,Mahindra XUV400,5.32,126.49,1602.9,93.8,40.54,335.39,48.18,1210,93.73,DC Fast,1.12,34.15,65.22,2.36,Normal,297.01,35.31,20.49,52.7,Average,High,Mixed,8.81,High,4,Off,On,28.11,249.0
EV100084,Car,70.33,BYD Atto 3,5.91,43.68,1570.4,74.7,29.92,353.44,77.69,1402,89.48,AC,8.92,61.74,104.27,3.62,Normal,86.85,71.4,15.97,53.34,Poor,Low,Mixed,11.49,High,2,Off,Off,24.89,188.87
EV100085,Car,32.53,Mahindra XUV400,3.06,130.05,1817.5,46.72,20.93,405.25,157.08,602,97.09,AC,3.43,57.46,115.12,3.25,Eco,194.81,84.35,20.86,74.62,Average,Very High,Hilly,9.15,Off,5,Off,On,30.91,47.74
EV100086,Scooty,7.98,Bajaj Chetak,6.0,10.91,103.9,50.46,26.21,60.63,6.02,1150,87.56,AC,0.77,61.34,125.0,1.81,Normal,93.16,18.65,42.7,57.99,Good,Medium,Mixed,7.55,Off,1,Off,On,8.0,44.08
EV100087,Car,60.67,Mahindra XUV400,2.03,144.6,2107.4,56.08,33.22,360.09,82.57,733,94.11,DC Fast,0.96,50.38,118.26,2.66,Normal,366.38,72.21,15.93,80.96,Good,High,Mixed,20.45,Low,3,Off,Off,23.11,138.54
EV100088,Car,44.24,BYD Atto 3,8.35,95.23,2278.3,11.01,32.59,348.63,65.24,607,88.24,AC,4.27,52.97,102.42,0.68,Normal,222.35,58.93,39.65,86.2,Average,High,Mixed,16.41,Off,1,Off,On,26.42,16.27
EV100089,Car,76.11,MG ZS EV,2.88,85.16,1543.6,44.3,27.38,371.29,36.27,714,93.67,DC Fast,1.1,38.42,79.87,2.34,Normal,150.43,76.92,28.9,38.32,Excellent,High,Flat,10.78,Medium,4,Off,On,21.1,149.65
EV100090,Car,25.27,Tata Tiago EV,2.03,121.35,2282.2,97.25,30.95,356.87,68.2,1445,91.69,AC,2.55,64.07,95.19,1.34,Aggressive,32.09,56.33,36.31,60.41,Excellent,Medium,Flat,14.45,Medium,1,Off,Off,24.34,92.58
EV100091,Scooty,3.47,Hero Vida V1,6.06,3.22,111.1,56.97,33.22,50.74,30.72,1174,85.76,AC,0.4,65.27,108.03,1.98,Eco,87.38,42.16,39.24,38.15,Good,Medium,Mixed,14.94,High,1,On,Off,8.0,21.21
EV100092,Car,54.26,MG ZS EV,4.89,116.0,1945.9,54.57,28.7,325.76,32.79,1622,87.26,AC,5.06,32.59,61.93,2.62,Normal,115.04,39.75,36.26,69.39,Good,Medium,Flat,9.11,Off,5,Off,On,18.67,138.41
EV100093,Car,37.33,Mahindra XUV400,10.67,80.92,1647.1,70.1,24.49,449.02,48.92,1449,88.85,AC,3.72,71.82,105.34,2.44,Normal,326.87,47.19,37.81,37.93,Good,High,Flat,11.25,Low,1,Off,On,21.55,107.86
EV100094,Car,45.59,Hyundai Ioniq 5,1.04,168.36,1669.7,12.61,10.97,395.56,79.75,992,93.52,DC Fast,0.56,62.61,94.56,2.62,Normal,492.11,45.25,24.77,72.76,Good,Very High,Mixed,10.88,Off,5,Off,On,26.74,20.1
EV100095,Scooty,6.96,Ola S1 Pro,4.25,5.3,118.9,58.7,22.18,70.78,42.39,961,86.98,Fast Charging,1.12,46.74,89.78,3.0,Aggressive,90.8,51.17,29.95,61.04,Excellent,Medium,Mixed,12.18,High,1,On,On,8.0,44.4
EV100096,Car,51.24,Hyundai Ioniq 5,10.9,139.83,1700.3,9.74,23.82,349.57,101.09,1251,83.36,AC,6.93,40.0,89.67,2.77,Normal,75.95,38.35,31.86,15.0,Poor,Low,Hilly,20.91,Off,4,Off,Off,27.24,15.28
EV100097,Car,47.88,Tata Tiago EV,9.88,147.46,1459.1,83.69,36.22,340.34,72.79,1321,80.11,AC,4.53,60.35,99.17,3.05,Normal,380.2,69.14,28.72,57.35,Average,Medium,Mixed,7.79,Low,5,On,On,25.29,126.93
EV100098,Car,69.45,Mahindra XUV400,3.13,104.84,1724.1,48.99,29.51,338.05,84.87,1198,93.77,DC Fast,0.92,42.01,82.26,1.64,Eco,96.4,67.45,35.6,47.14,Good,Low,Flat,2.77,High,4,Off,On,20.92,152.56
EV100099,Bus,154.98,JBM ECOLIFE,5.94,159.28,15548.8,30.59,27.75,607.84,174.88,878,89.52,Depot Fast,0.84,24.52,52.15,1.85,Aggressive,462.17,74.7,40.45,58.94,Good,High,Flat,12.29,High,34,Off,On,132.73,31.98
EV100100,Bus,249.45,Olectra C9,5.0,336.64,13436.3,81.48,16.76,555.02,160.19,1493,90.77,DC Fast,3.69,28.07,86.92,1.57,Eco,116.23,45.6,26.52,71.1,Poor,Low,Hilly,11.97,Low,21,On,On,121.33,152.05
EV100101,Scooty,5.86,TVS iQube,4.95,3.96,121.9,78.9,25.85,60.48,36.7,992,93.56,AC,0.65,30.74,59.36,2.0,Eco,46.51,49.12,42.83,73.28,Good,High,Flat,19.87,Off,1,Off,On,8.0,54.09
